x_thresholds,y_thresholds
0.0010801608,0.0
0.014547825,0.0
0.014561572,0.0022408965
0.026661113,0.0022408965
0.026693538,0.0034013605
0.03219471,0.0034013605
0.032230742,0.0034266133
0.056461588,0.0034266133
0.056463007,0.0057361377
0.06754905,0.0057361377
0.06755213,0.0059405942
0.08044067,0.0059405942
0.08044544,0.009259259
0.083655275,0.009259259
0.08370865,0.012658228
0.09072972,0.012658228
0.090734266,0.012889813
0.2192962,0.012889813
0.21941088,0.027777778
0.22320925,0.027777778
0.22350913,0.03276131
0.3006351,0.03276131
0.3010834,0.035799522
0.38294762,0.035799522
0.38342538,0.051136363
0.42417017,0.051136363
0.4248744,0.06800001
0.591958,0.06800001
0.5926557,0.1355932
0.648442,0.1355932
0.6485586,0.24590166
0.6841661,0.24590166
0.68494356,0.27118644
0.76179904,0.27118644
0.76431036,0.47727272
0.80358857,0.47727272
0.804121,0.47826087
0.8574855,0.47826087
0.85985327,0.6
0.8869378,0.6
0.8890235,0.625
0.8944578,0.625
0.8953595,0.6666667
0.90105766,0.6666667
0.9026455,0.825
0.93323827,0.825
0.93352985,0.98876405
0.9714774,0.98876405
0.97151697,1.0
0.9991366,1.0
